ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
ECOLE_POLYTECHNIQUE___Info.	857	12.6	22.5	231	13.4	20.3	147	14.3	18.4	103	18.4	17.5	78	75	103	
ECOLE_POLYTECHNIQUE___P&SI	772	20.5	29.0	192	17.7	20.8	102	22.5	14.7	81	21.0	16.0	49	49	81	
ENS_Ulm__MPI	1694	18.8	27.9	143	6.3	25.9	95	9.5	22.1	38	10.5	21.1	34	37	38	
ENS_Ulm__Info.	362	13.5	24.9	45	11.1	24.4	25	16.0	24.0	13	15.4	30.8	12	11	13	
ENS_Paris-Saclay_MP	1834	19.2	27.3	271	10.3	26.2	190	12.1	24.7	18	11.1	50.0	144	139	18	
ENS_Paris-Saclay_Info.	372	12.9	22.3	105	11.4	23.8	75	12.0	26.7	14	7.1	35.7	58	52	14	
ENS_de_Lyon_MPI	1831	19.7	27.9	249	9.2	28.1	159	12.6	26.4	20	5.0	35.0	92	83	20	
ENS_de_Lyon_Info.	393	12.7	22.1	123	8.9	21.1	71	11.3	19.7	22	22.7	18.2	45	44	22	
ENS_Rennes_MP	1704	19.9	28.0	309	14.6	29.1	257	16.0	28.8	12	16.7	50.0	210	207	12	
ENS_Rennes_Info.	359	13.9	22.0	101	11.9	18.8	87	12.6	19.5	8	0.0	50.0	62	57	9	
CentraleSupélec_-_Campus_Gif	3431	20.7	24.9	898	17.7	20.5	850	17.6	20.8	248	16.1	21.0	379	362	250	
CentraleSupélec_-_Campus_Gif_-_étr.	202	23.3	27.7	74	13.5	25.7	74	13.5	25.7	24	20.8	45.8	46	44	20	
CENTRALE_LYON	3691	21.5	25.0	1107	17.4	21.9	1061	17.8	22.0	115	20.0	28.7	689	682	127	
Institut_d'optique_Graduate_School_(SupOptique)	1646	24.5	27.9	671	22.8	24.3	636	22.2	24.4	25	24.0	4.0	477	490	40	
Institut_d'optique_Graduate_School_(SupOptique)_-_étr.	66	39.4	40.9	39	38.5	46.2	36	38.9	47.2	3	66.7	100.0	24	22	2	
CENTRALE_LILLE	3278	22.8	26.1	970	19.5	25.5	933	19.2	25.9	90	23.3	22.2	747	709	90	
CENTRALE_NANTES	3529	22.7	25.2	853	18.2	24.4	829	18.5	24.6	111	17.1	22.5	676	652	135	
CENTRALE_MARSEILLE	3198	22.9	25.8	1202	20.2	23.5	1106	20.2	23.2	72	18.1	30.6	852	817	80	
CENTRALE_CASABLANCA	481	20.4	34.1	61	13.1	27.9	58	13.8	29.3	0	0.0	0.0	0	0	8	
ECOLE_NAVALE_Brest	517	18.0	30.8	194	13.4	43.3	78	15.4	46.2	31	6.5	51.6	31	32	31	
ENSEA_Cergy	1301	24.1	26.5	958	23.5	24.4	532	24.1	21.6	39	23.1	38.5	426	416	60	
Université_de_Technologie_de_Troyes_(UTT)	523	23.5	24.5	167	22.2	13.2	110	20.0	11.8	0	0.0	0.0	0	0	20	
CentraleSupélec_-_Campus_Gif___-_CI										25	20.0	24.0	24	23	20	
CENTRALE_LYON___-_CI										7	28.6	14.3	43	43	8	
CENTRALE_LILLE___-_CI										3	0.0	66.7	54	53	3	
CENTRALE_NANTES___-_CI										2	50.0	50.0	50	50	5	
Institut_d'optique_Graduate_School_(SupOptique)__-_CI										5	0.0	40.0	99	99	3	
CENTRALE_MARSEILLE__-_CI										2	0.0	50.0	65	65	2	
Concours Cycle International CentraleSupÃ©lec	815	31.9	10.7	252	23.0	11.9	218	21.6	13.3	44					41	
CENTRALE_CASABLANCA__-_CI	815	31.9	10.7	252	23.0	11.9	216	21.8	13.4	12	8.3	8.3	159	166	55	
ENSAE_ParisTech										55	20.0	43.6	976	943	55	
ENSTA_ParisTech										58	29.3	24.1	800	772	60	
IMT_Atlantique_cursus_Sophia_Antipolis										3	33.3	0.0	1333	1279	3	
IMT_Atlantique_cursus_Brest-Nantes-Rennes-Toulouse										81	24.7	13.6	1501	1478	85	
ISAE_-_SUPAERO_Toulouse										78	28.2	19.2	691	652	75	
MINES_de_NANCY										48	29.2	16.7	1139	1111	52	
MINES_de_SAINT-ETIENNE										49	28.6	34.7	1322	1274	48	
MINES_ParisTech										48	27.1	12.5	147	141	48	
PONTS_ParisTech										75	20.0	22.7	482	443	76	
TELECOM_ParisTech_cursus_Paris										61	16.4	18.0	663	620	65	
TELECOM_ParisTech_cursus_Sophia										12	8.3	8.3	875	839	18	
Concours Commun Mines Ponts MP	5713	22.8	21.3	1907	18.7	20.8	1814	18.7	20.6	568					585	
Bordeaux_INP_-_ENSC_Cognitique										10	70.0	30.0	2428	2335	8	
Bordeaux_INP_-_ENSEIRB-MATMECA_Electronique										30	36.7	16.7	2464	2452	35	
Bordeaux_INP_-_ENSEIRB-MATMECA_Informatique										53	18.9	20.8	2012	1921	52	
