ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
ENS_Ulm__PSI	967	18.9	22.3	46	6.5	19.6	25	12.0	16.0	5	0.0	0.0	20	19	5	
ECOLE_POLYTECHNIQUE	941	16.7	20.1	91	7.7	15.4	61	8.2	13.1	57	8.8	14.0	30	30	57	
ENS_Paris-Saclay	1371	19.0	21.7	424	14.9	22.2	318	14.2	19.8	37	13.5	32.4	177	161	37	
ENS_Rennes	1234	19.2	23.3	367	15.3	25.1	331	14.2	23.3	5	20.0	80.0	313	306	5	
CentraleSupélec_-_Campus_Gif	2440	20.9	19.1	545	14.7	14.5	532	14.7	14.7	170	14.1	11.8	186	174	167	
CentraleSupélec_-_Campus_Gif_-_étr.	99	27.3	21.2	36	25.0	22.2	35	25.7	22.9	12	41.7	25.0	18	17	9	
CENTRALE_LYON	2794	21.9	18.8	621	15.5	16.1	609	15.4	16.3	81	12.3	21.0	385	381	82	
Institut_d'optique_Graduate_School_(SupOptique)	1418	24.2	23.3	529	23.1	20.8	503	22.9	20.3	18	55.6	5.6	451	431	30	
Institut_d'optique_Graduate_School_(SupOptique)_-_étr.	42	19.0	26.2	24	16.7	25.0	20	20.0	25.0	2	0.0	50.0	13	13	2	
CENTRALE_LILLE	2801	22.3	21.6	857	18.7	21.7	828	18.6	21.5	60	20.0	21.7	522	494	60	
CENTRALE_NANTES	2948	22.7	20.3	548	16.6	18.1	537	16.6	18.1	55	20.0	16.4	443	426	75	
CENTRALE_MARSEILLE	2715	22.7	22.4	927	19.3	21.7	870	19.3	21.3	56	19.6	28.6	617	598	60	
CENTRALE_CASABLANCA	389	22.9	30.8	61	13.1	39.3	54	13.0	33.3	0	0.0	0.0	0	0	3	
ECOLE_NAVALE_Brest	706	18.0	28.0	210	15.7	36.7	113	15.0	47.8	30	10.0	63.3	43	41	30	
ENSEA_Cergy	1355	24.7	23.0	994	24.2	21.8	622	24.4	20.1	57	17.5	22.8	522	488	60	
CentraleSupélec_-_Campus_Gif___-_CI										6	33.3	16.7	5	4	6	
CENTRALE_LYON___-_CI										1	0.0	100.0	9	9	1	
CENTRALE_LILLE___-_CI										0	0.0	0.0	0	0	1	
CENTRALE_NANTES___-_CI										1	100.0	0.0	8	8	5	
Institut_d'optique_Graduate_School_(SupOptique)__-_CI										2	0.0	0.0	13	13	1	
CENTRALE_MARSEILLE__-_CI										1	0.0	0.0	10	10	1	
Concours Cycle International CentraleSupÃ©lec	100	33.0	13.0	16	31.2	18.8	16	31.2	18.8	11					15	
CENTRALE_CASABLANCA__-_CI	100	33.0	13.0	16	31.2	18.8	16	31.2	18.8	1	100.0	0.0	16	16	10	
ENSTA_ParisTech										57	22.8	14.0	467	456	52	
IMT_Atlantique_cursus_Sophia_Antipolis										3	0.0	0.0	925	925	3	
IMT_Atlantique_cursus_Brest-Nantes-Rennes-Toulouse										69	15.9	20.3	887	853	63	
