ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
ECOLE_POLYTECHNIQUE	1297	27.7	24.8	251	19.9	25.1	162	17.9	24.1	130	16.9	26.2	74	73	130	
ESPCI_Paris	1396	29.8	24.9	417	21.8	24.0	369	21.1	23.0	55	40.0	9.1	210	206	55	
ESPCI_Paris_Etranger	60	30.0	30.0	20	20.0	25.0	13	30.8	30.8	3	33.3	33.3	7	8	2	
ENS_Ulm	1175	27.9	28.1	103	11.7	35.9	66	13.6	33.3	17	17.6	23.5	30	31	17	
ENS_Paris-Saclay_PC	1402	27.9	26.5	270	17.4	35.2	160	18.8	34.4	18	11.1	55.6	123	113	18	
ENS_de_Lyon	1278	27.8	27.5	250	17.2	34.4	157	18.5	32.5	27	25.9	37.0	103	98	27	
CentraleSupélec_-_Statut_étudiant	2552	30.4	23.3	664	23.9	22.0	647	24.3	22.4	160	23.8	18.8	233	228	152	
CentraleSupélec_-_Statut_étudiant_-_étr.	103	35.0	28.2	36	25.0	38.9	36	25.0	38.9	10	40.0	80.0	14	14	8	
CENTRALE_LYON	2782	31.8	23.1	641	24.3	23.1	627	24.7	23.4	58	24.1	34.5	447	447	62	
Institut_d'optique_Graduate_School_(SupOptique)	1702	32.0	27.0	555	28.1	25.8	537	28.7	25.3	30	23.3	40.0	457	422	45	
Institut_d'optique_Graduate_School_(SupOptique)_-_étr.	54	50.0	37.0	14	57.1	57.1	14	57.1	57.1	0	0.0	0.0	0	0	2	
CENTRALE_LILLE	2694	32.0	25.0	717	28.2	27.3	696	28.6	27.2	48	39.6	37.5	522	485	50	
CENTRALE_NANTES	2790	31.9	24.0	522	24.5	25.5	512	24.8	25.8	52	25.0	17.3	454	441	55	
CENTRALE_MARSEILLE	2845	33.0	24.4	1078	31.7	24.4	1028	32.2	24.7	76	44.7	30.3	762	723	80	
CENTRALE_CASABLANCA	412	27.2	29.4	76	18.4	36.8	68	19.1	39.7	0	0.0	0.0	0	0	2	
CentraleSupélec_-_Campus_étudiant_-_CI										5	20.0	0.0	3	3	5	
CENTRALE_LYON_-_CI										1	0.0	0.0	6	6	1	
CENTRALE_LILLE_-_CI										1	0.0	0.0	8	8	1	
CENTRALE_NANTES_-_CI										1	0.0	0.0	7	7	5	
Institut_d'optique_Graduate_School_(SupOptique)_-_CI										3	0.0	0.0	13	13	2	
CENTRALE_MARSEILLE_-_CI										2	0.0	0.0	10	10	2	
Concours Cycle International Centrale-Supelec PC	34	26.5	5.9	17	17.6	0.0	17	17.6	0.0	13					16	
CENTRALE_CASABLANCA_-_CI				0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	
Arts_et_Métiers										0	0.0	0.0	0	0	20	
Arts_et_Métiers_-_voie_de_l'apprentissage										0	0.0	0.0	0	0	1	
Concours ARTS ET MÃ‰TIERS ParisTech PC	1734	31.0	26.8	188	24.5	39.9	56	30.4	41.1	0					21	
ENSEA_Cergy	1734	31.0	26.8	1241	31.3	29.0	817	31.9	26.7	15	46.7	26.7	743	705	30	
Université_de_Technologie_de_Troyes_(UTT)	603	34.0	22.7	186	36.6	17.7	147	36.7	17.0	3	0.0	0.0	130	129	20	
EPF_campus_TROYES										14	35.7	21.4	267	270	10	
EPF_campus_MONTPELLIER										6	66.7	16.7	197	189	4	
EPF_campus_SCEAUX										9	33.3	22.2	219	181	6	
Concours EPF Sceaux-Troyes-Montpellier PC	470	44.7	19.8	404	44.3	20.5	297	48.8	20.9	29					20	
ESTP_Paris_-_Travaux_Publics_(TP)_-_campus_de_Cachan										49	20.4	20.4	514	480	60	
ESTP_Paris_-_Bâtiment_(B)_-_campus_de_Cachan										55	36.4	12.7	493	474	57	
ESTP_Paris_-_Génie_Mécanique_et_Electrique(GME)										10	50.0	10.0	618	564	30	
ESTP_Paris_-_Topographie_(T)										1	100.0	0.0	523	523	20	
ESTP_Paris_-_Bâtiment_(B)_-_campus_de_Troyes										6	16.7	33.3	622	617	12	
ESTP_Paris_-_Travaux_Publics_(TP)_-_campus_de_Dijon										4	25.0	25.0	630	558	5	
Concours ESTP PC	1172	34.0	23.0	876	35.2	22.5	643	35.6	20.7	125					184	
ECOLE_NAVALE_Brest	491	22.2	28.5	159	25.2	39.0	60	16.7	56.7	17	5.9	64.7	29	31	17	
ENSAE_ParisTech										10	40.0	30.0	562	542	8	
ENSTA_ParisTech										37	29.7	29.7	494	477	35	
ENSTA_ParisTech_-_apprentissage										1	0.0	0.0	565	565	2	
IMT_Atlantique_cursus_Brest-Nantes-Rennes-Toulouse										72	23.6	33.3	1040	976	67	
